                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8973,                 2.3306,                 1.4305,                0.51919,                0.16083,                0.13129,                0.06845,                 1.7348,                  1.975,                 1.3353,             0.00018409,             0.00018409,             0.00018409
                      2,                 1.7157,                 1.8698,                 1.3436,                0.65801,                0.17706,                  0.146,                0.08526,                 1.7855,                 1.9169,                 1.3883,             0.00036485,             0.00036485,             0.00036485
                      3,                 1.7121,                 1.8502,                 1.3465,                0.49148,                0.16707,                0.10317,                0.05607,                 1.7705,                 2.1738,                  1.389,             0.00054103,             0.00054103,             0.00054103
                      4,                 1.6943,                 1.8628,                 1.3294,                0.61691,                0.16775,                0.17613,                0.10356,                 1.6639,                 1.8239,                 1.3306,             0.00053536,             0.00053536,             0.00053536
                      5,                 1.6538,                 1.8227,                  1.315,                0.69103,                 0.1511,                0.16464,                0.09727,                 1.6013,                 1.8076,                 1.2967,             0.00053536,             0.00053536,             0.00053536
                      6,                  1.624,                 1.7704,                 1.2986,                0.50053,                0.20077,                0.19156,                0.11866,                 1.6029,                 1.7788,                 1.2952,             0.00052848,             0.00052848,             0.00052848
                      7,                 1.5972,                 1.7231,                 1.2838,                0.64946,                0.21099,                0.19784,                0.12337,                 1.5975,                 1.7539,                 1.2715,              0.0005216,              0.0005216,              0.0005216
                      8,                 1.5465,                 1.7065,                 1.2726,                0.62905,                0.24885,                0.24921,                0.15446,                 1.5539,                 1.6954,                 1.2827,             0.00051472,             0.00051472,             0.00051472
                      9,                 1.5461,                 1.6619,                 1.2525,                0.57477,                0.26454,                0.22743,                0.14042,                 1.5514,                  1.721,                 1.2896,             0.00050784,             0.00050784,             0.00050784
                     10,                  1.504,                 1.6297,                 1.2368,                0.70855,                 0.2629,                 0.2664,                0.18035,                 1.5393,                 1.6236,                 1.2642,             0.00050096,             0.00050096,             0.00050096
                     11,                 1.5011,                 1.6124,                  1.237,                0.73705,                0.25569,                0.25466,                0.16661,                 1.5112,                 1.6188,                 1.2606,             0.00049408,             0.00049408,             0.00049408
                     12,                 1.4658,                 1.5721,                 1.2253,                0.71588,                0.25326,                0.26193,                0.16893,                 1.5247,                 1.6506,                 1.2578,             0.00048719,             0.00048719,             0.00048719
                     13,                  1.421,                 1.5289,                 1.1942,                0.51976,                0.32088,                0.28316,                 0.1934,                  1.452,                 1.6597,                 1.2352,             0.00048031,             0.00048031,             0.00048031
                     14,                 1.4507,                 1.5261,                 1.2121,                0.52785,                0.26775,                0.26146,                0.17287,                 1.4538,                 1.5633,                 1.2301,             0.00047343,             0.00047343,             0.00047343
                     15,                 1.4148,                 1.4994,                 1.2036,                0.67503,                0.29417,                0.28598,                0.18497,                  1.445,                 1.5543,                  1.223,             0.00046655,             0.00046655,             0.00046655
                     16,                 1.3883,                 1.4734,                 1.1891,                0.70751,                0.31688,                0.30419,                0.20156,                 1.4822,                 1.5469,                 1.2267,             0.00045967,             0.00045967,             0.00045967
